zone_id,settlement,road_density,paved_proportion,total_road_length_m,road_segment_count
MTH_8,Mathare,0.0,0.0,0.0,0
MTH_48,Mathare,0.0,0.0,0.0,0
MTH_88,Mathare,0.0,0.0,0.0,0
MTH_89,Mathare,0.0,0.0,0.0,0
MTH_127,Mathare,0.0,0.0,0.0,0
MTH_128,Mathare,10205.3092,0.0,25.46,1
MTH_129,Mathare,6625.5028,0.0,7.14,1
MTH_167,Mathare,37866.0209,0.0,36.52,2
MTH_168,Mathare,39642.6895,0.0,98.91,4
MTH_169,Mathare,54300.7485,0.0,125.87,4
MTH_170,Mathare,34518.5443,0.0,14.7,2
MTH_207,Mathare,0.0,0.0,0.0,0
MTH_208,Mathare,18015.9399,0.0,44.95,1
MTH_209,Mathare,33728.7206,0.0,84.15,4
MTH_210,Mathare,47140.5122,0.0,114.99,4
MTH_211,Mathare,59309.2438,0.0,88.02,2
MTH_212,Mathare,74451.4234,0.0,26.64,1
MTH_247,Mathare,0.0,0.0,0.0,0
MTH_248,Mathare,0.0,0.0,0.0,0
MTH_249,Mathare,20705.0606,0.0,51.66,1
MTH_250,Mathare,0.0,0.0,0.0,0
MTH_251,Mathare,8557.2912,0.0,21.35,1
MTH_252,Mathare,21995.5689,0.0,54.37,1
MTH_253,Mathare,80101.9648,0.0,135.38,5
MTH_254,Mathare,63584.9359,0.0,37.52,3
MTH_287,Mathare,9344.8633,0.0,13.63,1
MTH_288,Mathare,32117.1386,0.0,80.13,2
MTH_289,Mathare,32830.0368,0.0,81.91,3
MTH_290,Mathare,27535.7742,0.0,68.7,2
MTH_291,Mathare,0.0,0.0,0.0,0
MTH_292,Mathare,0.0,0.0,0.0,0
MTH_293,Mathare,7613.7297,0.0,19.0,1
MTH_294,Mathare,66446.0087,0.0,165.78,6
MTH_295,Mathare,30334.1185,0.0,59.42,2
MTH_327,Mathare,5271.5337,0.0,7.96,1
MTH_328,Mathare,5054.6755,0.0,12.61,1
MTH_329,Mathare,21185.6221,0.0,52.86,2
MTH_330,Mathare,1313.6519,0.0,3.28,1
MTH_331,Mathare,22465.1764,0.0,56.05,1
MTH_332,Mathare,16106.2462,0.0,40.19,1
MTH_333,Mathare,0.0,0.0,0.0,0
MTH_334,Mathare,47150.9489,0.0,117.64,3
MTH_335,Mathare,89448.9929,0.0,91.62,4
MTH_364,Mathare,176038.5673,0.0,49.22,2
MTH_365,Mathare,79795.7665,0.0,60.71,3
MTH_366,Mathare,36087.6069,0.0,53.31,3
MTH_367,Mathare,6086.0097,0.0,14.08,1
MTH_368,Mathare,0.0,0.0,0.0,0
MTH_369,Mathare,5256.1794,0.0,13.11,1
MTH_370,Mathare,0.0,0.0,0.0,0
MTH_371,Mathare,13687.4631,0.0,34.15,1
MTH_372,Mathare,29206.0052,0.0,72.87,2
MTH_373,Mathare,29472.3299,0.0,73.53,3
MTH_374,Mathare,27029.6066,0.0,67.44,3
MTH_375,Mathare,67981.0407,0.0,109.16,4
MTH_400,Mathare,71182.8216,0.0,54.71,3
MTH_401,Mathare,54480.671,0.0,71.39,2
MTH_402,Mathare,130180.3858,0.0,237.96,8
MTH_403,Mathare,154853.1395,0.0,357.07,10
MTH_404,Mathare,45417.5874,0.0,113.32,4
MTH_405,Mathare,39447.5861,0.0,98.42,2
MTH_406,Mathare,6031.2268,0.0,15.05,1
MTH_407,Mathare,50900.9726,0.0,127.0,4
MTH_408,Mathare,40541.0457,0.0,101.15,3
MTH_409,Mathare,24618.2013,0.0,61.42,2
MTH_410,Mathare,20615.617,0.0,51.44,1
MTH_411,Mathare,6928.1539,0.0,17.29,1
MTH_412,Mathare,0.0,0.0,0.0,0
MTH_413,Mathare,0.0,0.0,0.0,0
MTH_414,Mathare,24915.9384,0.0,62.17,2
MTH_415,Mathare,35610.6782,0.0,87.4,3
MTH_416,Mathare,103470.2339,0.0,32.28,1
MTH_440,Mathare,8986.8003,0.0,17.27,3
MTH_441,Mathare,20840.2125,0.0,52.0,1
MTH_442,Mathare,29096.0381,0.0,72.59,2
MTH_443,Mathare,108532.989,0.0,270.79,8
MTH_444,Mathare,170429.1716,0.0,425.22,10
MTH_445,Mathare,49758.5355,0.0,124.15,4
MTH_446,Mathare,17516.5501,0.0,43.7,2
MTH_447,Mathare,20223.5688,0.0,50.46,1
MTH_448,Mathare,0.0,0.0,0.0,0
MTH_449,Mathare,0.0,0.0,0.0,0
MTH_450,Mathare,0.0,0.0,0.0,0
MTH_451,Mathare,0.0,0.0,0.0,0
MTH_452,Mathare,4057.3571,0.0,10.12,1
MTH_453,Mathare,18684.5689,0.0,46.62,1
MTH_454,Mathare,26961.1136,0.0,67.27,3
