zone_id,settlement,road_density,paved_proportion,total_road_length_m,road_segment_count
MLM_2,Milimani_village,0.0,0.0,0.0,0
MLM_3,Milimani_village,22041.8638,0.0,13.89,1
MLM_4,Milimani_village,0.0,0.0,0.0,0
MLM_5,Milimani_village,0.0,0.0,0.0,0
MLM_6,Milimani_village,0.0,0.0,0.0,0
MLM_7,Milimani_village,590.8409,0.0,0.77,1
MLM_8,Milimani_village,23304.1883,0.0,41.74,1
MLM_9,Milimani_village,26009.322,0.0,59.38,1
MLM_10,Milimani_village,13005.2332,0.0,18.14,1
MLM_12,Milimani_village,77150.6296,0.0,31.27,1
MLM_13,Milimani_village,8855.1191,0.0,21.46,2
MLM_14,Milimani_village,0.0,0.0,0.0,0
MLM_15,Milimani_village,9022.1882,0.0,22.51,1
MLM_16,Milimani_village,15685.5965,0.0,39.14,1
MLM_17,Milimani_village,21151.9338,0.0,52.77,1
MLM_18,Milimani_village,2273.4,0.0,5.67,1
MLM_19,Milimani_village,975.4522,0.0,2.43,1
MLM_20,Milimani_village,5361.5435,0.0,13.38,1
MLM_21,Milimani_village,0.0,0.0,0.0,0
MLM_22,Milimani_village,29527.7706,0.0,52.33,1
MLM_24,Milimani_village,29081.245,0.0,54.77,2
MLM_25,Milimani_village,0.0,0.0,0.0,0
MLM_26,Milimani_village,0.0,0.0,0.0,0
MLM_27,Milimani_village,0.0,0.0,0.0,0
MLM_28,Milimani_village,25923.2079,0.0,64.68,2
MLM_29,Milimani_village,2114.7356,0.0,5.28,1
MLM_30,Milimani_village,0.0,0.0,0.0,0
MLM_31,Milimani_village,0.0,0.0,0.0,0
MLM_32,Milimani_village,0.0,0.0,0.0,0
MLM_33,Milimani_village,0.0,0.0,0.0,0
MLM_34,Milimani_village,0.0,0.0,0.0,0
MLM_36,Milimani_village,71789.597,0.0,32.79,1
MLM_37,Milimani_village,23009.7157,0.0,46.56,1
MLM_38,Milimani_village,0.0,0.0,0.0,0
MLM_39,Milimani_village,0.0,0.0,0.0,0
MLM_40,Milimani_village,0.0,0.0,0.0,0
MLM_41,Milimani_village,0.0,0.0,0.0,0
MLM_42,Milimani_village,0.0,0.0,0.0,0
MLM_43,Milimani_village,0.0,0.0,0.0,0
MLM_44,Milimani_village,0.0,0.0,0.0,0
MLM_45,Milimani_village,11202.7087,0.0,27.95,1
MLM_46,Milimani_village,0.0,0.0,0.0,0
MLM_47,Milimani_village,30868.4166,0.0,18.63,1
MLM_50,Milimani_village,0.0,0.0,0.0,0
MLM_51,Milimani_village,0.0,0.0,0.0,0
MLM_52,Milimani_village,0.0,0.0,0.0,0
MLM_53,Milimani_village,0.0,0.0,0.0,0
MLM_54,Milimani_village,0.0,0.0,0.0,0
MLM_55,Milimani_village,0.0,0.0,0.0,0
MLM_57,Milimani_village,32052.8932,0.0,13.77,1
MLM_65,Milimani_village,0.0,0.0,0.0,0
A48_1,area_48_village,0.0,0.0,0.0,0
A48_2,area_48_village,0.0,0.0,0.0,0
A48_12,area_48_village,19894.7654,0.0,42.63,1
A48_13,area_48_village,0.0,0.0,0.0,0
A48_14,area_48_village,0.0,0.0,0.0,0
A48_15,area_48_village,0.0,0.0,0.0,0
A48_16,area_48_village,0.0,0.0,0.0,0
A48_17,area_48_village,0.0,0.0,0.0,0
A48_18,area_48_village,0.0,0.0,0.0,0
A48_21,area_48_village,0.0,0.0,0.0,0
A48_22,area_48_village,8083.8615,0.0,6.88,1
A48_24,area_48_village,0.0,0.0,0.0,0
A48_25,area_48_village,0.0,0.0,0.0,0
A48_26,area_48_village,0.0,0.0,0.0,0
A48_27,area_48_village,0.0,0.0,0.0,0
A48_28,area_48_village,0.0,0.0,0.0,0
A48_29,area_48_village,0.0,0.0,0.0,0
A48_30,area_48_village,0.0,0.0,0.0,0
A48_31,area_48_village,0.0,0.0,0.0,0
A48_32,area_48_village,0.0,0.0,0.0,0
A48_33,area_48_village,1832.0893,0.0,3.27,1
A48_34,area_48_village,13940.3189,0.0,6.55,3
A48_36,area_48_village,0.0,0.0,0.0,0
A48_37,area_48_village,0.0,0.0,0.0,0
A48_38,area_48_village,0.0,0.0,0.0,0
A48_39,area_48_village,0.0,0.0,0.0,0
A48_40,area_48_village,3498.1495,0.0,8.73,1
A48_41,area_48_village,22907.1954,0.0,57.15,1
A48_42,area_48_village,0.0,0.0,0.0,0
A48_43,area_48_village,0.0,0.0,0.0,0
A48_44,area_48_village,0.0,0.0,0.0,0
A48_48,area_48_village,14078.4072,0.0,19.66,1
A48_49,area_48_village,4190.6495,0.0,10.46,1
A48_50,area_48_village,0.0,0.0,0.0,0
A48_51,area_48_village,16129.0654,0.0,40.24,1
A48_52,area_48_village,20431.1731,0.0,50.98,1
A48_53,area_48_village,0.0,0.0,0.0,0
A48_54,area_48_village,0.0,0.0,0.0,0
A48_60,area_48_village,6092.3882,0.0,7.45,1
A48_61,area_48_village,6974.0252,0.0,17.4,1
A48_62,area_48_village,23546.2974,0.0,58.75,1
A48_63,area_48_village,9616.9624,0.0,18.68,1
A48_64,area_48_village,0.0,0.0,0.0,0
A48_72,area_48_village,22419.3328,0.0,22.0,1
A48_73,area_48_village,20820.72,0.0,40.74,1
A48_74,area_48_village,0.0,0.0,0.0,0
WPW_20,wapewape_village,58939.392,0.0,87.41,2
WPW_21,wapewape_village,12175.5432,0.0,21.09,1
WPW_29,wapewape_village,0.0,0.0,0.0,0
WPW_30,wapewape_village,9247.2462,0.0,19.18,1
WPW_31,wapewape_village,27267.4271,0.0,7.26,1
WPW_41,wapewape_village,37107.348,0.0,46.6,3
WPW_42,wapewape_village,21668.2289,0.0,51.43,2
WPW_43,wapewape_village,23034.6119,0.0,57.47,2
WPW_44,wapewape_village,13469.9922,0.0,33.61,1
WPW_45,wapewape_village,0.0,0.0,0.0,0
WPW_51,wapewape_village,50564.6379,0.0,56.95,2
WPW_52,wapewape_village,0.0,0.0,0.0,0
WPW_53,wapewape_village,0.0,0.0,0.0,0
WPW_54,wapewape_village,58708.2089,0.0,37.62,1
WPW_62,wapewape_village,70260.7573,0.0,80.12,2
WPW_63,wapewape_village,35596.984,0.0,82.08,2
WPW_64,wapewape_village,23326.9737,0.0,58.2,1
WPW_65,wapewape_village,23055.373,0.0,57.52,1
WPW_66,wapewape_village,16599.3052,0.0,41.42,1
WPW_67,wapewape_village,0.0,0.0,0.0,0
WPW_68,wapewape_village,0.0,0.0,0.0,0
WPW_72,wapewape_village,0.0,0.0,0.0,0
WPW_73,wapewape_village,39750.8003,0.0,74.0,3
WPW_74,wapewape_village,29750.7306,0.0,74.23,2
WPW_75,wapewape_village,0.0,0.0,0.0,0
WPW_76,wapewape_village,0.0,0.0,0.0,0
WPW_77,wapewape_village,46304.4277,0.0,50.72,1
WPW_83,wapewape_village,67620.7607,0.0,69.43,2
WPW_84,wapewape_village,41467.8535,0.0,92.87,3
WPW_85,wapewape_village,21225.8963,0.0,52.96,2
WPW_86,wapewape_village,18059.9015,0.0,45.06,2
WPW_87,wapewape_village,20687.9185,0.0,51.62,2
WPW_88,wapewape_village,13958.3856,0.0,34.13,2
WPW_89,wapewape_village,17038.5754,0.0,22.59,1
WPW_94,wapewape_village,20371.2543,0.0,23.57,1
WPW_95,wapewape_village,6501.6536,0.0,15.69,1
WPW_96,wapewape_village,45696.6066,0.0,114.01,3
WPW_97,wapewape_village,28776.563,0.0,71.8,2
WPW_98,wapewape_village,17945.961,0.0,44.78,2
WPW_99,wapewape_village,0.0,0.0,0.0,0
WPW_100,wapewape_village,35628.3156,0.0,53.4,2
WPW_104,wapewape_village,43335.9047,0.0,39.56,2
WPW_105,wapewape_village,38449.2011,0.0,83.19,3
WPW_106,wapewape_village,23476.3771,0.0,58.57,1
WPW_107,wapewape_village,23334.3879,0.0,58.22,1
WPW_108,wapewape_village,23333.6066,0.0,58.22,1
