settlement,n_test,rmse,mae,r2,mean_residual,std_residual,max_error,pct_within_005,pct_within_010,model
KCC,117,0.040109170247221694,0.031239802941249364,0.09000361374440813,-0.00789824512397492,0.03932382562623098,0.14142127697230342,86.32478632478633,96.58119658119658,Ridge
Kahawa_Soweto,533,0.04418753399861941,0.029240042931265153,0.28854646251126326,-0.006027570213217363,0.04377449666419799,0.2745421765885895,86.11632270168855,95.30956848030019,Ridge
Kambi_Moto,36,0.019772536991359092,0.01550943070795639,-0.10244257996674411,0.009193731105472953,0.017505100040700217,0.053075885479968804,97.22222222222221,100.0,Ridge
Kayole_Soweto,489,0.02160366588313222,0.01614628545799025,0.33329518272450953,-0.006199077273609899,0.020695164182625476,0.14106472416932944,96.7280163599182,99.79550102249489,Ridge
Mathare,1270,0.03975288382573553,0.024442751492310875,0.24418153340694593,0.006409328779007564,0.0392327959373916,0.41995535915000615,90.86614173228347,97.48031496062993,Ridge
KCC,117,0.042748638216894834,0.03389542301360748,-0.033705629654465996,-0.011684110943739511,0.041120890321749454,0.13901054840898128,82.05128205128204,97.43589743589743,Random Forest
Kahawa_Soweto,533,0.04503246796956554,0.029217363462968226,0.2610781479325389,-0.0004974885026461281,0.04502971992606307,0.3090803980332068,85.17823639774859,96.62288930581614,Random Forest
Kambi_Moto,36,0.017509369811899617,0.013988752141920071,0.13548563051075146,0.006329080329526798,0.016325463956416635,0.03935160422358491,100.0,100.0,Random Forest
Kayole_Soweto,489,0.021597473665596265,0.01627689692990829,0.3336773206105653,-0.005763629475289386,0.02081421254834541,0.10672400007958929,96.93251533742331,99.79550102249489,Random Forest
Mathare,1270,0.03919716350826456,0.024480696190329262,0.2651655629726092,0.0015081812577139404,0.03916813777022732,0.41134395316204914,89.84251968503936,97.55905511811024,Random Forest
KCC,117,0.04799969264465974,0.03857491762378237,-0.30325447632502534,-0.014212151018952028,0.045847412766657866,0.14232071703828153,71.7948717948718,95.72649572649573,XGBoost
Kahawa_Soweto,533,0.0488979478968776,0.03172219750617981,0.12877911182375212,-0.0011049840570544224,0.04888546122068823,0.3332930839797463,82.36397748592871,95.49718574108817,XGBoost
Kambi_Moto,36,0.01802119445733177,0.014295067315331283,0.08420486681405881,0.0055504438393808204,0.01714514575192771,0.03853827484140959,100.0,100.0,XGBoost
Kayole_Soweto,489,0.02307483245978654,0.01732774904971869,0.2394009090565432,-0.008411975133010327,0.021486892921240015,0.10776067901368169,96.52351738241309,99.59100204498978,XGBoost
Mathare,1270,0.04118121396544339,0.026310346938622914,0.18889232781790988,0.0003535150058771159,0.04117969658470361,0.4163193045995901,87.16535433070867,97.48031496062993,XGBoost
